volume_id,comparator,label,family,delta_top_risk_auprc,mae_reduction,delta_spearman
file_brain_AXT2_203_2030254,direct_lambda_risk_raw,"Direct raw
residual",direct,0.1263318361155511,0.3361001973061986,-0.00217935782480716
file_brain_AXT2_203_2030256,direct_lambda_risk_raw,"Direct raw
residual",direct,0.16352063919817095,0.31825366590210336,0.011263087265864002
file_brain_AXT2_203_2030354,direct_lambda_risk_raw,"Direct raw
residual",direct,0.08207807052055782,0.32277095684969287,0.017937822793567815
file_brain_AXT2_205_6000022,direct_lambda_risk_raw,"Direct raw
residual",direct,0.09897868084589012,0.3325179230377979,0.02387275434521774
file_brain_AXT2_207_2070039,direct_lambda_risk_raw,"Direct raw
residual",direct,0.08416649999261028,0.3846195390089643,0.024031201009556247
file_brain_AXT2_207_2070054,direct_lambda_risk_raw,"Direct raw
residual",direct,0.073022640749136,0.3161993659815604,0.025573026197833415
file_brain_AXT2_207_2070194,direct_lambda_risk_raw,"Direct raw
residual",direct,0.07800603258457062,0.3490803362228112,0.010911051730065235
file_brain_AXT2_207_2070208,direct_lambda_risk_raw,"Direct raw
residual",direct,0.21517310573080195,0.3474696609124027,0.05723504138956126
file_brain_AXT2_207_2070280,direct_lambda_risk_raw,"Direct raw
residual",direct,0.17535699787170922,0.3448576297938348,0.04097431828755682
file_brain_AXT2_207_2070352,direct_lambda_risk_raw,"Direct raw
residual",direct,0.14081356397645028,0.4422346776796092,0.02808515725244054
file_brain_AXT2_207_2070417,direct_lambda_risk_raw,"Direct raw
residual",direct,0.06025669816592161,0.5569231296360976,0.022148012807467587
file_brain_AXT2_207_2070770,direct_lambda_risk_raw,"Direct raw
residual",direct,0.18549527121084497,0.35004865094124116,0.01780960129053799
file_brain_AXT2_207_2070777,direct_lambda_risk_raw,"Direct raw
residual",direct,0.07925332612603919,0.42252656927227955,0.010418779836937175
file_brain_AXT2_207_2070822,direct_lambda_risk_raw,"Direct raw
residual",direct,0.07967779896066918,0.5554958074287288,0.016617352713748423
file_brain_AXT2_208_2080013,direct_lambda_risk_raw,"Direct raw
residual",direct,0.19099465171242236,0.3909892407894639,0.010599957142249816
file_brain_AXT2_208_2080126,direct_lambda_risk_raw,"Direct raw
residual",direct,0.0459098780415379,0.42190014774259676,0.002169913907138832
file_brain_AXT2_208_2080585,direct_lambda_risk_raw,"Direct raw
residual",direct,0.15546549377114172,0.3556201657451678,0.07480767379719566
file_brain_AXT2_208_2080611,direct_lambda_risk_raw,"Direct raw
residual",direct,0.09229006248612703,0.3916056887651291,0.01795584396465466
file_brain_AXT2_209_6001384,direct_lambda_risk_raw,"Direct raw
residual",direct,0.18853068843659693,0.3192913975331781,0.03703257622623313
file_brain_AXT2_209_6001459,direct_lambda_risk_raw,"Direct raw
residual",direct,0.1135021033494158,0.3306869133776559,0.01580629825465385
file_brain_AXT2_210_2100135,direct_lambda_risk_raw,"Direct raw
residual",direct,0.2018540858891661,0.3214332628188086,0.03865752187375815
file_brain_AXT2_210_2100276,direct_lambda_risk_raw,"Direct raw
residual",direct,0.2628834338198309,0.3630895589979314,0.013422339579583942
file_brain_AXT2_210_2100288,direct_lambda_risk_raw,"Direct raw
residual",direct,0.08956851287351608,0.4095557317095121,-0.0014454141210680227
file_brain_AXT2_210_2100306,direct_lambda_risk_raw,"Direct raw
residual",direct,0.1327158222981164,0.3150766027937318,0.012427992174467883
file_brain_AXT2_210_2100368,direct_lambda_risk_raw,"Direct raw
residual",direct,0.06916261163260018,0.2967022248985442,-0.0053199091910896
file_brain_AXT2_210_6001524,direct_lambda_risk_raw,"Direct raw
residual",direct,0.04207673045748095,0.2933513551331186,0.0017396831943460311
file_brain_AXT2_210_6001651,direct_lambda_risk_raw,"Direct raw
residual",direct,0.1683763978197511,0.2828042779194412,0.018306410401237816
file_brain_AXT2_210_6001906,direct_lambda_risk_raw,"Direct raw
residual",direct,0.09058959892224716,0.3059557734654011,0.02294396823390643
file_brain_AXT2_210_6001941,direct_lambda_risk_raw,"Direct raw
residual",direct,0.015638899202543577,0.3752836787175794,-0.0005956786086018795
file_brain_AXT2_200_2000080,psf_gain_channel,"Gain
envelope",deterministic,0.17835684788894068,0.14320543264910748,0.06559635663459262
file_brain_AXT2_200_2000175,psf_gain_channel,"Gain
envelope",deterministic,0.18557575611487998,0.1689370086279733,0.023528823196116933
file_brain_AXT2_200_2000360,psf_gain_channel,"Gain
envelope",deterministic,0.39009244352093453,0.158528841628783,0.02428960528837043
file_brain_AXT2_200_2000362,psf_gain_channel,"Gain
envelope",deterministic,0.3801171318711474,0.1782030032579871,0.023632864837163203
file_brain_AXT2_200_6001972,psf_gain_channel,"Gain
envelope",deterministic,0.16378433186289454,0.08947870483163639,0.029005131694475272
file_brain_AXT2_200_6002111,psf_gain_channel,"Gain
envelope",deterministic,0.29537824721792627,0.1091316884964548,0.01463541954094516
file_brain_AXT2_200_6002151,psf_gain_channel,"Gain
envelope",deterministic,0.2055471033587859,0.1740459437816631,0.04323193827819283
file_brain_AXT2_200_6002242,psf_gain_channel,"Gain
envelope",deterministic,0.2508490640497696,0.1581854391562641,0.028066931590137845
file_brain_AXT2_200_6002524,psf_gain_channel,"Gain
envelope",deterministic,0.22561999811272093,0.1189351107939573,0.025282775334427243
file_brain_AXT2_201_2010625,psf_gain_channel,"Gain
envelope",deterministic,0.36824288914838826,0.2088810633124129,0.021701069826246755
file_brain_AXT2_202_2020189,psf_gain_channel,"Gain
envelope",deterministic,0.24413041616335807,0.1562758838116629,0.03260874936380942
file_brain_AXT2_203_2030254,psf_gain_channel,"Gain
envelope",deterministic,0.21969817383908452,0.1480445422481976,0.01129523693360357
file_brain_AXT2_203_2030256,psf_gain_channel,"Gain
envelope",deterministic,0.289203928157194,0.1330427349020392,0.020255613148920437
file_brain_AXT2_203_2030354,psf_gain_channel,"Gain
envelope",deterministic,0.21328931551474484,0.1293564942596016,0.02479355973138142
file_brain_AXT2_205_6000022,psf_gain_channel,"Gain
envelope",deterministic,0.18084365579324457,0.1318434001666299,0.01172655178527815
file_brain_AXT2_207_2070039,psf_gain_channel,"Gain
envelope",deterministic,0.5274428499268652,0.1782777153007923,0.04198683583356799
file_brain_AXT2_207_2070054,psf_gain_channel,"Gain
envelope",deterministic,0.42750465132075915,0.1414639997273173,0.04489279556114678
file_brain_AXT2_207_2070194,psf_gain_channel,"Gain
envelope",deterministic,0.33049659301309664,0.1599855822431939,0.020702295655523617
file_brain_AXT2_207_2070208,psf_gain_channel,"Gain
envelope",deterministic,0.26254001962692664,0.1610173176426602,0.05807763653555287
file_brain_AXT2_207_2070280,psf_gain_channel,"Gain
envelope",deterministic,0.2697909430424542,0.1577351773195718,0.03699754837651559
file_brain_AXT2_207_2070352,psf_gain_channel,"Gain
envelope",deterministic,0.2836287490502961,0.221861335370649,0.0391498591399807
file_brain_AXT2_207_2070417,psf_gain_channel,"Gain
envelope",deterministic,0.32482530901250484,0.2900665250355211,0.034133144025699225
file_brain_AXT2_207_2070770,psf_gain_channel,"Gain
envelope",deterministic,0.22829763403702064,0.15069492055253308,0.06424200360952204
file_brain_AXT2_207_2070777,psf_gain_channel,"Gain
envelope",deterministic,0.4120831871550997,0.206413298092472,0.018838208331003137
file_brain_AXT2_207_2070822,psf_gain_channel,"Gain
envelope",deterministic,0.36942705979909185,0.280347300420333,0.0270739784826608
file_brain_AXT2_208_2080013,psf_gain_channel,"Gain
envelope",deterministic,0.2948715041197072,0.1728392733594839,0.04697293005634606
file_brain_AXT2_208_2080126,psf_gain_channel,"Gain
envelope",deterministic,0.24011880045872958,0.2039196976744426,0.005994503534502371
file_brain_AXT2_208_2080585,psf_gain_channel,"Gain
envelope",deterministic,0.2485483770140956,0.16266314106664032,0.0758193030104668
file_brain_AXT2_208_2080611,psf_gain_channel,"Gain
envelope",deterministic,0.5004982733175396,0.1887019756371413,0.030469554187991466
file_brain_AXT2_209_6001384,psf_gain_channel,"Gain
envelope",deterministic,0.2373285728560679,0.14254490822868288,0.015514590499387526
file_brain_AXT2_209_6001459,psf_gain_channel,"Gain
envelope",deterministic,0.2655458301467962,0.13404159505161461,0.019834413584619015
file_brain_AXT2_210_2100135,psf_gain_channel,"Gain
envelope",deterministic,0.211398146862939,0.1390025956495304,0.05793537498610013
file_brain_AXT2_210_2100276,psf_gain_channel,"Gain
envelope",deterministic,0.40584083015075856,0.179432367943534,0.02773863752408634
file_brain_AXT2_210_2100288,psf_gain_channel,"Gain
envelope",deterministic,0.3816761075194591,0.2025602501641458,0.016762289531870755
file_brain_AXT2_210_2100306,psf_gain_channel,"Gain
envelope",deterministic,0.25266864855705107,0.15567112396700458,0.022309279828259587
file_brain_AXT2_210_2100368,psf_gain_channel,"Gain
envelope",deterministic,0.12800294747758656,0.1329611660263305,0.01348949104600139
file_brain_AXT2_210_6001524,psf_gain_channel,"Gain
envelope",deterministic,0.27628004684352336,0.1373949710036546,0.016503525816988773
file_brain_AXT2_210_6001651,psf_gain_channel,"Gain
envelope",deterministic,0.25871191812971917,0.12064911343742889,0.023803351337701062
file_brain_AXT2_210_6001906,psf_gain_channel,"Gain
envelope",deterministic,0.2299906975250563,0.14451218423553597,0.026002461159625567
file_brain_AXT2_210_6001941,psf_gain_channel,"Gain
envelope",deterministic,0.38142964313388683,0.1967356247017838,0.019496178291900756
file_brain_AXT2_200_2000080,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.17932270128385397,0.2226835573550366,0.062170165338354844
file_brain_AXT2_200_2000175,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.11374576753191212,0.26403990413350675,0.049757237999395576
file_brain_AXT2_200_2000360,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.3527128673967419,0.2444068032802596,0.06196587419408506
file_brain_AXT2_200_2000362,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.2834244480966164,0.2706748020116367,0.03731327888036917
file_brain_AXT2_200_6001972,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.228351656004479,0.19155275041768688,0.06372212423565393
file_brain_AXT2_200_6002111,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.23820919262241336,0.19407262160455538,0.05437316209270804
file_brain_AXT2_200_6002151,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.17844101906341536,0.2768710327268057,0.06180246919098664
file_brain_AXT2_200_6002242,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.24303911116332444,0.26345651231091816,0.0984129953174071
file_brain_AXT2_200_6002524,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.24276236352147262,0.2070825574619748,0.06296280970615797
file_brain_AXT2_201_2010625,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.36315448276920226,0.33990161262974,0.04872875380875874
file_brain_AXT2_202_2020189,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.20997772993128927,0.2339250777066759,0.15542134051694945
file_brain_AXT2_203_2030254,xhat_magnitude,"Reconstruction
magnitude",deterministic,0.17498836313040944,0.2301416972092452,0.031676148199273
