split,volume_id,slice_idx,num_coils,height,width,reference_scale,target_raw_l1,target_norm_l1,raw_to_norm_l1_ratio,relative_ratio_error,ssdu_loss,diagnostic_target_l1,diagnostic_residual_l1,out_nmse,out_psnr,out_ssim,out_p99,ref_p99,out_p99_ratio,x0_nmse,x0_psnr,x0_ssim,x0_p99,x0_p99_ratio,r_theta,theta_count,lambda_rec_count,lambda_min_center_distance_norm,lambda_mean_center_distance_norm,lambda_acs_overlap_count
calibration,file_brain_AXT2_209_6001317,0,14,768,396,0.0002503932628314942,1.3503084182739258,5392.7509765625,0.0002503932453292424,6.989905219560578e-08,0.8553858399391174,5392.7509765625,4612.8828125,0.35819941759109497,16.867438695074995,0.36273616595300623,1.50350821018219,0.9999600052833557,1.5035683449705988,0.12312188744544983,21.50533488205959,0.20262294285520885,0.8406273722648621,0.8406609942622808,6.387096881866455,62,19,0.06835442781448364,0.20399734377861023,0
calibration,file_brain_AXT2_209_6001317,1,14,768,396,0.00024041054712142795,1.2893091440200806,5362.947265625,0.00024041055788189328,4.4758707182433175e-08,0.8664308786392212,5362.947265625,4646.623046875,0.3817601799964905,16.3259517228291,0.3489137469460488,1.5952355861663818,0.9999584555625916,1.5953018620831434,0.11826840043067932,21.415170599254978,0.20175097201696227,0.8879032731056213,0.8879401620792193,6.387096881866455,62,19,0.06835442781448364,0.20399734377861023,0
calibration,file_brain_AXT2_209_6001317,2,14,768,396,0.00023816553584765643,1.2768425941467285,5361.15625,0.00023816552523473427,4.456111619949506e-08,0.8718623518943787,5361.15625,4674.1904296875,0.395901620388031,15.959063632424776,0.34199038257957465,1.6512643098831177,0.9999579787254333,1.6513337010283184,0.11331212520599365,21.39217262783066,0.19831451845455966,0.9180141091346741,0.918052686877778,6.387096881866455,62,19,0.06835442781448364,0.20399734377861023,0
calibration,file_brain_AXT2_209_6001317,3,14,768,396,0.0002194669796153903,1.2020081281661987,5476.943359375,0.0002194669634676239,7.357720212388029e-08,0.8907527923583984,5476.943359375,4878.6025390625,0.39561349153518677,15.92229893682603,0.32869766004027057,1.6132690906524658,0.9999544620513916,1.6133425589613903,0.11797541379928589,21.17709492007623,0.1924687418129657,0.901108980178833,0.9011500167010809,6.387096881866455,62,19,0.06835442781448364,0.20399734377861023,0
calibration,file_brain_AXT2_208_2080616,0,4,640,320,0.00043426326010376215,0.6474936604499817,1491.0164794921875,0.0004342632488344499,2.595041593753849e-08,0.793923020362854,1491.0164794921875,1183.7523193359375,0.33727654814720154,16.585970054791165,0.48067544950275987,1.5566012859344482,0.9999769330024719,1.5566371928791718,0.07736807316541672,22.98021378240294,0.2932979068610471,0.8492512702941895,0.8492708604221783,6.153846263885498,52,14,0.1034482792019844,0.2825795114040375,0
calibration,file_brain_AXT2_208_2080616,1,4,640,320,0.0004591030883602798,0.6466313600540161,1408.466796875,0.0004591030200276731,1.48839352861526e-07,0.7857667207717896,1408.466796875,1106.726318359375,0.34298545122146606,16.730893479634773,0.4915141034989697,1.6384096145629883,0.9999783039093018,1.6384451624161978,0.07159343361854553,23.534918622348183,0.29320451433746925,0.8905940055847168,0.8906133284113765,6.153846263885498,52,14,0.1034482792019844,0.2825795114040375,0
calibration,file_brain_AXT2_208_2080616,2,4,640,320,0.0004680924757849425,0.6193255186080933,1323.083740234375,0.0004680924568677593,4.0413345938126973e-08,0.7890743613243103,1323.083740234375,1044.011474609375,0.342904657125473,17.141570417974442,0.5002355553544618,1.6295382976531982,0.9999786019325256,1.6295731673681584,0.07047078013420105,24.013213263175835,0.2916758076733481,0.9004499316215515,0.9004691999213496,6.153846263885498,52,14,0.1034482792019844,0.2825795114040375,0
calibration,file_brain_AXT2_208_2080616,3,4,640,320,0.0004381856124382466,0.5767027139663696,1316.1151123046875,0.0004381856180926973,1.2904236309512703e-08,0.8029336929321289,1316.1151123046875,1056.753173828125,0.34532788395881653,16.973547843552666,0.47256096883487375,1.66521418094635,0.999977171421051,1.6652521962859177,0.06548017263412476,24.194766100051254,0.276040194593448,0.916992723941803,0.9170136580595762,6.153846263885498,52,14,0.1034482792019844,0.2825795114040375,0
calibration,file_brain_AXT2_210_6001534,0,16,768,396,0.0002784568350762129,1.809603214263916,6498.685546875,0.00027845680502791727,1.0791006618873253e-07,0.6974002718925476,6498.685546875,4532.18505859375,0.30288878083229065,17.823041684445283,0.42372981459347775,1.4487128257751465,0.9999641180038452,1.4487648103470518,0.11658743023872375,21.969356377341626,0.23314827135822738,0.8070142865180969,0.807043244839898,6.387096881866455,62,19,0.06329113990068436,0.20799468457698822,0
calibration,file_brain_AXT2_210_6001534,1,16,768,396,0.00028024750645272434,1.831243634223938,6534.3798828125,0.0002802475012266568,1.8648042812614928e-08,0.6931615471839905,6534.3798828125,4529.380859375,0.3236633241176605,17.44348467553244,0.4234477676006863,1.5359379053115845,0.9999643564224243,1.5359926535833521,0.11112256348133087,22.08639676187746,0.23336854062087864,0.8495572209358215,0.8495875032730522,6.387096881866455,62,19,0.06329113990068436,0.20799468457698822,0
